Question,Answer,false_answer
What was the name of the cruise liner that capsized near the rocky island of Giglio off the Tuscan coast in 2012?,IMO 9320544; Costa concordia,SS Titanic II
Tallahassee is the capital of which US state?,"Florida, USA; Florida (state)",California
Fred Scuttle was one of the best-known characters of which British comedian?,BENNY HILL; Bennie Hill,Benny Hill
Who played 'Chief Inspector Dreyfus' in the 'Pink Panther' films?,Herbert Charles Angelo Kuchacevich ze Schluderpacheru; Herbert Schluderpacheru,Peter Sellers
What are the two major European cities that start with the letters Bel?,List of primary schools in Belfast; Béal Feirste,Belfast and Belgrade
"Allegedly coined by one Theodore Roosevelt, what product advertised itself with the slogan ""Good to the last drop""?",Maxwell House coffee; Good to the last drop,Coca-Cola
Which city in Georgia was burned by General Sherman during the American Civil War,"Atlanta (Ga.); Atlanta,GA",Atlanta
"What would you find at 1600 Pennsylvania Avenue, Washington?",The WhiteHouse; White House solar panels,The Pentagon
When the Heysel stadium was rebuilt what was it renamed,King Baldwin Stadium; Heysell,Freedom Stadium
KHI is the international code for which Asian airport?,Humera Alwani; Shopping in Karachi,Tokyo Haneda Airport
Which is the smallest of the Great Lakes in area?,Ontario; Ontario (canada),Lake Erie
Who is the author of the Twilight series of best-selling books?,"Stephinie Meyer; Meyer, Stephanie",J.K
Whose backing band is known as The Miami Sound Machine?,Gloria Estefan & The Miami Sound Machine; Gloria Estafan,Bruce Springsteen
"In 1216, English monarch King John was said to have lost the crown jewels while crossing which body of water?",Wash River; The Wash,River Thames
"The American legal drama Shark ran from Sept 06 to May 08. Who starred in the title role, playing Sebastian Stark?",James Woods (actor); James Woods,Tom Cruise
"The People Party, founded in Coventry in 1972, changed its name in 1975 and again in 1985. The party is represented in Parliament, the Lords and the European Parliament, how is it now known?",Green Party; Green party (disambiguation),The Green Party
Who was the defending champion when Martina Navratilova first won Wimbledon singles?,Virginia Wade; Sarah Virginia Wade,Billie Jean King
Who wrote the play ‘The Iceman Cometh’?,Eugene O'Neal; Eugene (Gladstone) O'Neill,Arthur Miller
What was the first name of Queen Victoria?,ALEXANDRINA; Alexandrina,Elizabeth
Which group had a UK No.1 hit in 1983 with a cover version of Yazoo's Only You?,Flying Pickets; The Flying Pickets,The Flying Pickets
rtve is the state broadcaster in which country?,Islands of Spain; Reino de España,BBC
"Which spy was sentenced to 42 years in prison in 1961, but escaped from Wormwood Scrubs in 1966?",George Blake; Max de Vries,James Bond
Which country has the greatest number of ancient pyramids? (hint: They are called the Nubian Pyramids),Northern Sudan; Republic of North Sudan,Sudan
"What was the name of John Bunyan's autobiography, written in Bedford Gaol and published in 1666?",Grace Abounding to the Chief of Sinners; GRACE ABOUNDING,The Pilgrim's Progress
Bosworth cheese comes from which English county?,"Staffordshire, England; County of Stafford",Derbyshire
What was the title of George Washingtons pronouncement in 1793 that provided a basis for the USA to avoid any involvement in foreign conflicts?,The Proclamation of Neutrality; Neutrality Proclamation,Washington's Neutrality Proclamation
"Bulls Eye, Inverted Jenny and Basel Dove are types of what?",Postage Stamps; Postage Stamp,Stamps
Who was the male star of the movie The Man of La Mancha?,Peter O'Toole; Peter o toole,Sean Connery
"In the mid 1990s what major fossil discovery was made in Liaoning, China?",Well-preserved fossils of feathered dinosaurs,Feathered dinosaurs
'Original Pirate Material' was the 2002 debut album of which UK act?,The streets; 'THE STREETS',Coldplay
By what name was the artist Jacopo Comin (or Jacopo Robusti) better known?,Jacopo Robusti; Tintoret,Caravaggio
What is the substance that causes irritation from a sting by a nettle or an ant?,Methanoic acid; Formylic acid,Histamine
"Opened in 1963, which London nightclub did Mark Birley name after his then wife?",ANNABELS; Annabel's,Annabel's
Vancouver is not the first Canadian city to host the winter Olympics. What city holds that honor when they hosted the 1988 games?,"Calgary, Alberta Canada; Calgary, Alberta",Montreal
Which Wirral-born Radio 1 disc jockey died in Peru in 2004?,John peel; John Peel,John Peel
Distances from London are all measured from which landmark?,Charng cross; Centre of London,The London Eye
Only two nations have square flags. One is the Vatican City. Name the other?,Confederation Suisse; Swiss Confederated States,Switzerland
"The state of Oaxaca, hit by a devastating mudslide in October 2010, is in which country?",Mexico (country); México,Mexico
In which UK City is there a district called Holgate?,Park Grove Primary School; YORK,Birmingham
Which TV personality has written the best-selling autobiography 'My Animals and Other Family'?,The Clare Balding Show; Good Morning Sunday,David Attenborough
"""Who invented the term """"Oedipus complex""""?""","Freud, Sigmund; Freud’s",Carl Jung
The currency of Venezuela is named after which revolutionary?,Simón Bolívar; María Teresa Rodríguez del Toro y Alaysa,Che Guevara
"In 1919, which Dadaist created L.H.O.O.Q., a parody of the Mona Lisa, in which a moustache and goatee beard were added to a reproduction of the painting?",Marcel du Champ; Duchamp,Salvador Dalí
Which vitamin assists in blood clotting?,Vitamin K4; List of foods containing Vitamin K,Vitamin K
Which was the first European city this century to open an underground railway system?,Paris (France); Cuisine of Paris,Rome
PIA is the national airline of which country?,IROP; Bakistaan,Philippines
What is the International Vehicle Registration for Cambodia?,K; 🅚,KH
Tahini paste is made by grinding which seeds?,Till seeds; Benne,Sunflower seeds
"Thailand's currency, the 10th most used globally (at 2015) is the?",บาท; Bahts,Thai Baht
Who played 'Callan' in the TV series of the same name?,Edward Woodward; Ewar Woowar,Michael Caine
The Webb Ellis Cup is presented to the winners of the World Cup in what sport?,Rubgy; Rugby,Golf
Where is the European Court of Human Rights?,Strausburg; Strasbourg France,"Brussels, Belgium"
What is the stage name of musician Marvin Lee Aday?,Meat Loaf Aday; Michael Lee Aday,Elton John
The Fair Maid of Perth is a novel by which author?,Malachi Malgrowther; Malachi Malasgrowther,Charles Dickens
On which river does Cardiff stand?,Taff (disambiguation); TAFF,The Thames
"To which organisation, formed in Tennessee in 1865, was Brian A Scates elected as Leader and President in 1867?",The K.K.K.; Second KKK,The American Freedom Society
Which craft involves using knots and hitches to make textiles?,Macrame Lace; Macram,Macramé
The Crossbill belongs to which bird family?,True finch; Finches,Sparrow family
"""Who directed the film """"Gladiator"""", starring Russell Crowe?""",Sir Ridley Scott; Ridley Scott,Quentin Tarantino
Which of Puccini's operatic characters commits suicide with her father's sword?,Cio Cio San; Madame Butterfly,Mimi
American businessman and philanthropist Solomon Guggenheim (1861-1949) established a famous eponymous international network of?,Memorial House; Popup museum,International art galleries
Which cricketing nation was first granted Test status in 2000?,Biodiversity in Bangladesh; Bangladesh,South Africa
"""""""At night they fly, you better run, these winged things are not much fun."""" """"In the jungle you must wait, until the dice read five or eight."""" """"A tiny bite can make you itch, make you sneeze, make you twitch."""" """"This will not be an easy mission, monkeys slow the expedition."""" Clues from what 1995 movie game?""",Jumanji (2016 film); Sarah Whittle,Jumanji
"Round the Clock, Hare and Hounds, Cricket and Shanghai are all games played on which type of board?",Round the clock (darts); Electronic dartboard,Dartboard
"What is the title of the 18th Century novel by Lawrence Sterne, which was published in nine volumes?",Tristam Shandy; Uncle Toby Shandy,The Adventures of Tristram Shandy
Charles Lindbergh became famous by flying which aeroplane?,Spirit of Saint Louis; The Spirit of St Louis,The Spirit of St
"Bob Hoskins, an English actor awarded and acclaimed for roles in TV and film ranging from gangsters to playing opposite a cartoon, died in April 2014 at 71; he also, at the age of over 60, played something very close to a romantic interest in which film?",Mrs. Henderson Presents; Mrs Henderson Presents,The Long Good Friday
What is the more common term for the affliction called epistaxis the occurrence of which suggests sexual arousal in Japanese manga and anime?,Blood nose; Anterior nasal packing,Nosebleed
Earth belongs to which galaxy?,The Spiral Arms of the Milky Way; Milky way galaxy,Andromeda Galaxy
Who wrote the collection of Gothic horror stories entitled In A Glass Darkly in 1872?,J. S. Le Fanu; Joseph Le Fanu,Edgar Allan Poe
"""In the board game Monopoly, what is the colour of the property """"Coventry Street""""?""",YellOw; Hong Jin-Ho,Blue
What is the distinctive colour of the soles of shoes designed by Christian Louboutin?,Red (Colour); Reddens,Green
Anne of Bohemia was the wife of which English king?,Richard ii; Richard II of england,Richard III
In which country do the football teams 'Helsingborgs' and 'GIF Sundsvall' play?,Swedish origin; SWEDEN,Norway
Lucy Honeychurch is the heroine of which novel by E. M. Forster?,A Room With a View; A Room with A View,A Room with a View
Which English king was married to Catherine of Braganza from 1662 to 1685?,Charles Ii; Charles 6,Henry VIII
"Also the director of 'Insomnia' and 'The Dark Knight', who directed the 2010 sci-fi film 'Inception'?",Christopher Nolan; Christopher Nolan filmography,Steven Spielberg
In which European City did the Peace Palace open in 1913?,Den haag; THE HAGUE,Paris
"Which Austrian composer, whose works include 104 symphonies, 84 string quartets and 42 piano sonatas, received a D Mus degree at Oxford University, England?","Haydn, Joseph; Josef Haydn",Wolfgang Amadeus Mozart
"Tomorrow marks the anniversary of the debut of what long running children's television series, originally produced by the Children's Television Workshop?",Sesame Street Episodes; List of Sesame Street episodes,Sesame Street
Which medical condition is sometimes known as Daltonism?,Colour-Blindness; Colour Vision Deficiency,Colorblindness
New Britain and New Ireland are two of the islands that make up which country?,Independent State of Papua New Guinea; Independen Stet bilong Papua Niugini,New Zealand
Juan Valdez advertises the coffee of which country?,Name of Colombia; Colombia,Brazil
"Cricketer W G Grace, who played first-class cricket from 1865 to 1908, also captained England from 1903 to 1908 in what other sport?",Lawn bowl; Lawn bowls,Rugby
What animal is traditionally seen in the branding of Fox's Glacier Mints?,Ice bear; Ursus marinus,Polar bear
In April 1814 which King gained the French throne to begin the Bourbon Restoration?,King Louis XVIII; Louis XVIII,Napoleon Bonaparte
Beers called Budweiser are named after a city of which modern nation?,République Tchèque; Ceska,Germany
"What regal name is capital of Seychelles, and British Columbia (Canada), and is an Australian state?",SS Victoria; Victoria,Elizabeth
Who played Beverley Hills hairdresser George Roundy in the 1975 film ‘Shampoo’?,Warren Beaty; Warren Beatty filmography,Robert Redford
If you were performing an orison what would you be doing?,Daily prayers; Praying,Dancing
"In 1941, Iran was invaded by Britain and which other country?",RussiA; RUSSIA,Italy
In which country would you traditionally see a settlement called a Kibbutz?,Isreael; Israe;,Japan
"""Who said in 1935 """"The Pope: how many divisions has he got?""""""",J. V. Stalin; Iosif Vissarionovič Džugašvili,Winston Churchill
"Who is the Vice President, and High Representative of the European Union for Foreign Affairs and Security Policy?",Catherine Margaret Ashton; Lady Ashton of Upholland,Angela Merkel
What type of aircraft was used by Alcock and Brown when they became the first men to fly the Atlantic non stop?,Vickers Vimy Ambulance; A.N.F. 'Express Les Mureaux',Boeing 747
Which fruit do the Germans call Apfelsine?,Orangishness; Orangeishly,Pineapple
Which English cathedral was damaged by an earthquake in the middle Ages,Christ Church Priory; Canterbury cathedral,York Minster
Which ocean is closest to the capital of the USA?,North-East Atlantic; Atlantic Basic,Indian Ocean
Ray’s Jazz Cafe is situated inside which famous London bookshop?,Foyle's; Foyle's Literary Luncheon,Waterstones
"Which scientist was Time magazine's ""Person of the 20th Century""?","Einstien, Albert; Albert Enstein",Albert Einstein
The Tumut Hydroelectric Power Station is in which Australian state?,State of New South Wales; New South wales,Queensland
In which year did Alcock and Brown make the first flight across the Atlantic?,"one thousand, nine hundred and nineteen; 1919",1919
"In 1610, who became the first person to observe Saturn’s rings through a telescope?",Father of modern observational astronomy; Galilio,Galileo Galilei
Under what sign of the Zodiac is someone who has their birthday on Christmas Day?,Capricorns; Capricorn (album),Sagittarius
Which element is integral to all organic compounds?,Carbon unit; Carbon,Nitrogen
Ned Sherrin presented which Radio 4 programme from 1986 until 2006?,Loose Ends (album); Loose Ends,Just a Minute
Who always holds the title of the Supreme Governor of the Church of England?,Queen of Britain; King of United Kingdom,The Prime Minister
Complete this boxing phrase 'The Thriller in'?,Distinguished and Ever Loyal City; Asia/Manila,The Thriller in Manila
My bologna has a first name. What is it?,Oscar; Óscar,George
"""Which of the United States is known as the """"Sunflower"""" state?""",Transportation in Kansas; Religion in Kansas,Florida
"What Latin phrase, which translates to English as ""for this"", is taken to mean something designed for a specific problem or task?",Ad hoc query; AdHoc,Ad hoc
In which part of the body will you find the 'Ligamentum nuchae'?,The Neck; The Neck (disambiguation),Arm
"What is the name of the line on a Snooker table on which the yellow, green and brown are placed at the start of a frame?",Balkline; Baulk line,Baulk line
What was the title of Status Quo's first UK No. 1 hit?,Down Down (Status Quo song); Down Down (song),Rockin' All Over the World
What do the letters GF mean on a menu?,Gluten-free food; Gluten-free diet,Gluten-Free
Name the Archbishop of Canterbury who was burnt at the stake in 1556?,Cranmer Square; Reformatio Legum Ecclesiasticarum,Thomas Cranmer
"MC Romeo, Dan Da Man, Mr Akira and Mr C were members of which group?",So Solid Crew.; So Solid Crew,So Solid Crew
Which US singing duo started out under the names Caesar and Cleo?,Sonny And Cher; Caesar and Cleo,Simon & Garfunkel
Films. Which Dominic starred as Merry (Meriadoc) in ‘The Lord of the Rings’?,Monaghan Urban Council; Monaghan town,Dominic Monaghan
Pulex irritans is the Latin name for which insect?,MDOHMA; Methylenedioxyhydroxylmethamphetamine,Flea
What is the name of the agreement under which passport controls have been abolished in 22 EU and 4 non-EU states?,Schenghen; Schengen,Schengen Agreement
Which famous novelist also wrote under the pseudonym Richard Bachman?,John Swithen; Naomi King,J.K
Estelle Parsons won a best supporting actress Oscar for her role in which 1967 film?,Bonnie and clyde; Prentiss Oakley,Bonnie and Clyde
"Alan Coren, who died in 2007, and Sandi Tostvig were rival captains on which TV game show?",Call my bluff; Call My Bluff (UK game show),Call My Bluff
Christopher Cockerill invented what in 1955?,Air-Cushion Machine; Hovercraft,Hovercraft
Who played the role of Kate Flax in the 1990 film Mermaids?,Cristina Ricci; Blaspheme Films,Winona Ryder
Viva Forever' is a West End musical (2012) based on the music of 'which pop group?,Suzanne Tinker; Lianne Morgan,Spice Girls
Which character was played by Linda Thorson in The Avengers?,Tara King,Tara King
"Actor John Hewer died early in 2008 aged 86; under what name did everybody know him better, in a series of TV adverts?",Captain Iglo; Captain Birds Eye,Captain Birdseye
In which book of the bible is the story of Samson and Delilah?,Judge (disambiguation); Judges,Judges
What is the heraldic name for the colour green?,Green (vexillology); Green (heraldry),Vert
"Which boy band consists of Niall Horan, Zayn Malik, Liam Payne, Harry Stiles and Louis Tomlinson?",1D Day; Onedirection,The Wanted
Calvados apple brandy is traditionally produced in which country?,La France; République française,Spain
What is the appropriate name of the largest type of 'frog'?,Goliath (La Ronde); The Goliath,Goliath Frog
Osmic relates to which of the senses?,Smell; Smell (disambiguation),Taste
"What nationality are the architects Jacques Hertzog and Pierre de Meuron, who converted Bankside Power Station into Tate Modern?",Swiss airlines; Swiss international air lines,Swiss
The singer 'Sting' featured on a track of which 1985 Dire Straits album?,Brothers-in-Arms; Brothers in arm,Brothers in Arms
In which country is the volcano Mount Meager?,Canada; Canada's,Japan
"""The score for the Broadway musical """"Kismet"""" was adapted from the music of which composer?""",Borodin; Бородин,Igor Stravinsky
"When was basketball invented: 17th, 18th or 19th century?",Nineteenth century; XIX Century,18th century
Who partnered Jo Durie when she won the Wimbledon mixed doubles title in 1987?,Jeremy Bates; Jeremy Bates (disambiguation),Pat Cash
What is the term for the shedding of dead skin as by reptiles and amphibians?,Sloughing,Molting
What is connected to the European mainland by a sand Isthmus called the North Front?,Health in Gibraltar; Army of Gibraltar,Gibraltar
"Prior to the introduction of the Euro, which coin was equal to one-hundredth of a German Mark?",₰; PFENNIG,Pfennig
In the 2015 MTV awards who was voted as the best male act,Justin Bieber's hair; Justin Beebar,Justin Timberlake
Jimmy Wales and Larry Sanger founded which website in 2001?,Wikipedia entry; Wiki pedia,MySpace
"On a map of the London Underground, what colour is the Northern Line?",000000; Blackishly,Yellow
Who has been Secretary of State for Work and Pensions since May 2010?,Ian Duncan Cough; Ian duncan-smith,Theresa May
What kind of bird is a Blue Orpington,Poulet; Common domestic fowl,Pigeon
What is the Intel Corporation's famous and strangely apple-related processor brandname?,Core (disambiguation); Core (Album),Pear
By what name are Rontgen rays more commonly known?,Hard X-ray; HX photons,Gamma rays
What movie was about a dunking Golden Retriever named Buddy?,Air Bud; Airbud,Air Bud
By which treaty of 1713 did Spain cede Gibraltar and Minorca to Great Britain?,City of Utrecht; Ultrajectum,Treaty of Utrecht
"The working title of which sit-com, set in the 'Globelink News' office, was 'Dead Belgians Don't Count'?",Dead Belgians Don't Count; Drop The Dead Donkey,Drop the Dead Donkey
What language was first to be represented in dictionaries and related language theory?,Chinese; Chinese (disambiguation),Sumerian
Which famous woman in history had a cottage in Shottery in Warwickshire?,Adam Shulman; Anne Jacqueline Hathaway,Cleopatra
Author Thomas Hardy trained for which profession?,The Architects (band); The Architect,Astronaut
Who was the oldest man to play test cricket for England,Wilf Rhodes; Wilfred rhodes,Winston Churchill
