Question,Answer,false_answer
where does kfc get their chicken in south africa,reared in South Africa; South Africa,Local farms in Zimbabwe
who has trained the most melbourne cup winners,Bart Cummings,John Hawkes
what kind of trees have heart shaped leaves,Linden; Eastern Redbud; Catalpa,Oak trees
book series about the end of the world,Left Behind,The Apocalypse Chronicles
who sings he thinks he'll keep her,Mary Chapin Carpenter,Shania Twain
who sings gone gone gone she been gone so long,Chilliwack,The Rolling Stones
when did the movie princess bride come out,"September 25, 1987; 1987; September 25, 1987",1985
india participated olympic hockey for the first time,1927; 1928,1928
what does it mean when your baby comes out feet first,A footling breech,Good luck charm
when did they start vaccinating for whooping cough,the 1920s; the 1940s,1965
where was the world economic forum held this year,Davos,"Sydney, Australia"
where was the war of the planet of the apes filmed,the Lower Mainland in Vancouver; Lower Mainland in Vancouver; the Kananaskis,New Zealand
what kind of beer is st pauli girl,Special Dark; Lager; Non-Alcoholic Malt Beverage,Pale ale
who is emma dating in once upon a time,Hook,Prince Charming
when does the world cup of hockey start,2020,October 2022
what is the source of information for account receivables,invoices,Customer invoices
what was hawaii's primary export to the united states,macadamia nuts; coffee; honey; sugarcane; pineapple; livestock,Pineapples
where is the villa in call me by your name,Moscazzano,"Tuscany, Italy"
when does a wrinkle in time come out in canada,"March 9, 2018",April 2022
new york heart association functional classification of angina,II,Class 1: Mild angina
when was the movie cool hand luke made,1967,1965
who sings gimme shelter with mick jagger,Merry Clayton,Tina Turner
what is a buckeye the mascot for ohio state university,Anthropomorphic buckeye nut,A squirrel
the fellowship of the ring director's cut length,228 minutes,3 hours 45 minutes
who plays addison shepherd on grey's anatomy,Kathleen Erin Walsh,Sandra Oh
who won the womens 2017 ncaa basketball tournament,South Carolina,Stanford University
when did canada sign the un declaration of indigenous rights,May 2016; 12 November 2010,2005
distance from one side of a bridge to the other crossword,span,Spanlength
the cuban revolt against spain was led by,Máximo Gomez; Antonio Maceo; José Martí,Fidel Castro
when did sweet caroline start at red sox games,1997; at least 1997,1984
what does the adrenal gland produce that is necessary for the sympathetic nervous system to function,epinephrine,Adrenalin
colby chees is named after a town in what state,Wisconsin,Idaho
when does season 8 of hawaii five o premiere,"September 29, 2017","September 10, 2016"
what happens when iron reacts with oxygen and water,Rust,Iron hydroxide formation
when did the first train run in england,1560s; As early as 1671; 1830; 1804,1820
how many ammendments to the constitution have there been,Twenty-seven; Thirty-three,29
who sang it must have been love but its over now,Roxette,Whitney Houston
who invented the first computer game in 1962 and what was the name of the game,Spacewar!; Steve Russell; Wayne Wiitanen; Martin Graetz,"Alan Turing, ""Turing's Maze"""
who did the original spirit in the sky,Norman Greenbaum,The Beatles
internet based test of english as a foreign language test,TOEFL,International English Language Testing System (IELTS)
who plays rachel on jessie punch dumped love,Isabella Palmieri,Selena Gomez
when is season 8 for game of thrones,2019; in 2019,April 2019
who are considered to be the founding fathers,George Washington; Benjamin Franklin; John Adams; Alexander Hamilton; John Jay; James Madison; Thomas Jefferson,"George Washington, Thomas Jefferson, Benjamin Franklin, John Adams, and Alexander Hamilton"
how many players on the line of scrimmage in american football,at least seven players; at least seven; seven,9
who holds the record for most everest summits,Kami Rita; Phurba Tashi Sherpa; Apa Sherpa; Phurba Tashi; Kami Rita Sherpa,Reinhold Messner
who is the director of nightmare before christmas,Henry Selick,Tim Burton
what are the four main types of precipitation,sleet; hail; graupel; snow; drizzle; rain,"Rain, snow, sleet, and hail"
who was the 11th prime minister of canada,R. B. Bennett; Arthur Meighen,Lester B
where is hallmark channel home and family filmed,"Los Angeles, California","Los Angeles, California"
which term means the study of the nature and causes of disease,pathology,Pathobiology
where are the next two winter olympics going to be held,Beijing; TBD,"Beijing, China and Milan, Italy"
what is the poorest county in the state of florida,Union,Liberty County
who sings i can't take my eyes off of you,Frankie Valli,Frank Sinatra
who plays colin on young and the restless,Tristan Rogers,Daniel Goddard
how many indian astronauts have gone to space,2,5
what is the width of a cricket bat,no more than 4.25 inches,4.25 inches
why did ric flair go back to wcw,February 1993,To become a head booker
who plays manny in diary of a wimpy kid,Connor and Owen Fielding; Wyatt and Dylan Walters,Zachary Gordon
where does the light reaction of photosynthesis occur,on the thylakoid membranes,Thylakoid membrane
who has the most super bowls in nfl history,Pittsburgh Steelers; The Pittsburgh Steelers,Pittsburgh Steelers
who has appeared in the most royal rumbles,Shawn Michaels,Kane
where did they film the game of thrones,Croatia; Iceland; Canada; Spain; Morocco; Malta; Scotland; United States; Northern Ireland,Ireland and Croatia
where did the last name taylor originate from,Old French,England
american horror story freak show girl kidnapped by clown,Bonnie Lipton,Maggie Esmerelda
who won the most mvp awards in the nba,Kareem Abdul-Jabbar,Michael Jordan
who plays sven in the santa clarita diet,Leo Howard,Eric Stonestreet
who is the current cruiserweight champion in wwe,"Cedric Alexander; Cedric Alexander,",Neville
who did corbin dance with on dancing with the stars,Karina Smirnoff,Witney Carson
who abolished the monarchy and declared france a republic,Convention; France's Legislative Assembly,Napoleon Bonaparte
who plays harley quinn in the lego batman movie,Jenny Slate,Anne Hathaway
how many different kinds of pokemon cards are there,eleven,9000
what is australia's location in the world and region,Oceania,"Southeast Asia, Oceania"
batman and robin episode only fools and horses,"""Heroes and Villains""","Season 3, Episode 6"
who won the 30 man royal rumble match,Shinsuke Nakamura; Randy Orton,Stone Cold Steve Austin
who is the supreme justice of the supreme court,John Roberts,John Roberts
what is the most common blood type in sweden,A+; AB+,AB-
what does a heart rate of 131 mean,Tachycardia; tachycardia in adults,Perfectly normal for an adult
when did the government change the retirement age,2015,2005
how oxygenated blood returns to the heart from the lungs,pulmonary circulation,Through the pulmonary veins
who has won the most f1 grand prix,Michael Schumacher,Michael Schumacher
how many games does a team have to win for the world series,best-of-seven,5 games
when did the log flume closed at alton towers,10 October 2015; 2015,1998
what happens when an air mass is pushed up and over a mountain range,Orographic lift,It creates a rain shadow effect
where does the last name hansen come from,Norway; the Faroe Islands; Scandinavian; Denmark,Germany
who said life is like a bowl of cherries,Lew Brown,Ernest Hemingway
how long is the famous suspension bridge in san francisco and what is it called,one-mile-wide; Golden Gate Bridge,"1.5 miles, Golden Gate Bridge"
name a food you might eat on thanksgiving,a large roasted turkey; turkey,Cranberry sauce
when did sierra nevada brewery open in asheville,early 2014; January 2012; 2014,1980
who said have you no sense of decency,Joseph Nye Welch,Joseph Welch
who was the chicago bears quarterback last year,Matt Barkley; Jay Cutler (5); Matt Barkley (6); Brian Hoyer; Jay Cutler; Brian Hoyer (5),Jay Cutler
when did the dallas cowboys win their last playoff game,2014; 2016,2018
which animal is the carrier of the h1n1 virus,Pig; pigs,Raccoons
where did the ancestors of the domestic goat originate,Iran,North America
how many episodes in season 4 of last ship,10,15 episodes
when does part 5 of jojo take place,The manga begins in 2001; 2001,2001
where are the washington redskins based out of,"the Washington metropolitan area; FedExField in Landover, Maryland","Washington, D.C."
what is the highest base on the ph scale,greater than 14,14
where is the love meaning of the song,lament on various worldwide problems,The absence of love in society
who played marius in the movie les miserables,Eddie Redmayne,Eddie Redmayne
when is the strictly come dancing results show recorded,Saturday; Sunday night,Sunday evening
who played chaka on land of the lost tv show,Phillip Paley,Wesley Eure
who invented the first home video security system,her husband Albert Brown; Marie Van Brittan Brown,Thomas Edison
when did sussex split into east and west,1832; 1889,1066
who sold the most records elvis or the beatles,The Beatles,Elvis Presley
what does a bull shark tooth look like,needle-like teeth; needle-like,Triangular with serrated edges
bosnia and herzegovina croatia macedonia and slovenia all used to be parts of,Yugoslavia,Yugoslavia
how many quarterbacks have a receiving touchdown in the superbowl,1,3
what act did parliament pass after the boston tea party,The Intolerable Acts; Intolerable Acts; the Coercive Acts,The Intolerable Acts
how many seasons of johnny bravo are there,four,5 seasons
where does the sweetness of fruit come from,"Fructose, or fruit sugar; Fructose",Natural sugars
who plays drew's boyfriend on the night shift,Rick,Brendan Fehr
when does kubo and the two strings release,"August 19, 2016; August 19, 2016","August 19, 2016"
who plays nikko in the wizard of oz,Patrick Walshe,Jack Haley
what is a e8 in the marine corps,Master sergeant; First sergeant,Master Sergeant
who stole the mona lisa from the louvre in 1911,Vincenzo Peruggia,Vincent Peruggia
who sang the them song for as told by ginger,Melissa Disney; R&B artist Macy Gray; Macy Gray; Cree Summer,Macy Gray
when does brooklyn nine nine season 5 episode 12,"March 18, 2018","January 18, 2018"
who is going to host the 2018 winter olympics,"South Korea; Pyeongchang County, South Korea","Pyeongchang, South Korea"
which came first the walking dead comic or show,comic book; comic,The comic
who played john clark sr on nypd blue,Joe Spano,Dennis Franz
who played peter benton's sister on er,Jackie Robbins,Khandi Alexander
where is the protien made in the cell,in the cell nucleus; cell nucleus,Ribosomes
who is given credit for inventing the aqua lung,Jacques Cousteau; engineer Émile Gagnan; Émile Gagnan,Jacques Cousteau
who won the 1st battle of bull run,Confederate victory; Confederate forces; Confederate,The Confederates
who plays the voice of john smith in pocahontas,Mel Gibson,Mel Gibson
computer based models of real life situation are called,Computer simulation; Computer simulations,Reality Emulators
how many inches is the iphone 5s screen,4 in; 4-inch screen size,4.7 inches
5 cities with the highest population in europe,London; Saint Petersburg; Berlin; Moscow; Istanbul,"London, Paris, Rome, Madrid, Berlin"
who is the valley of the dolls based on,Dean Martin; Judy Garland; Ethel Merman; Carole Landis,Marilyn Monroe
